2011-04-01T00:00:00Z,Office Supplies,Vallejo,United States,Kunst Miller,US-2011-157021,94591,"Pressboard Data Binder, Crimson, 12 X 8 1/2",4,West,Consumer,2011. 4. 6.,Second Class,California,Binders,Shipped Late,null,null,38.0985,-122.2124,0.2,6.0,17.0,5.0,22.0,3.0,17.09,32.5
2011-04-01T00:00:00Z,Office Supplies,Vallejo,United States,Kunst Miller,US-2011-157021,94591,Avery 490,2,West,Consumer,2011. 4. 6.,Second Class,California,Labels,Shipped Late,null,null,38.0985,-122.2124,0.0,15.0,30.0,5.0,39.0,3.0,29.6,50.0
2011-04-01T00:00:00Z,Office Supplies,Revere,United States,Katharine Harms,CA-2011-138359,02151,Zipper Ring Binder Pockets,2,East,Corporate,2011. 4. 6.,Standard Class,Massachusetts,Binders,Shipped Early,null,null,42.4138,-71.0052,0.0,3.0,6.0,5.0,8.0,6.0,6.24,49.0
2011-04-01T00:00:00Z,Office Supplies,Revere,United States,Katharine Harms,CA-2011-138359,02151,Rogers Profile Extra Capacity Storage Tub,4,East,Corporate,2011. 4. 6.,Standard Class,Massachusetts,Storage,Shipped Early,null,null,42.4138,-71.0052,0.0,3.0,67.0,5.0,88.0,6.0,66.96,4.0
2011-04-02T00:00:00Z,Office Supplies,Houston,United States,Sam Craven,US-2011-157847,77095,Xerox 1898,5,Central,Consumer,2011. 4. 6.,Second Class,Texas,Paper,Shipped Late,null,null,29.8941,-95.6481,0.2,9.0,27.0,4.0,35.0,3.0,26.72,35.0
2011-04-02T00:00:00Z,Office Supplies,Houston,United States,Sam Craven,US-2011-157847,77095,Xerox 1947,7,Central,Consumer,2011. 4. 6.,Second Class,Texas,Paper,Shipped Late,null,null,29.8941,-95.6481,0.2,10.0,33.0,4.0,44.0,3.0,33.49,31.3
2011-04-02T00:00:00Z,Furniture,Virginia Beach,United States,Anna Häberlin,CA-2011-160276,23464,Luxo Adjustable Task Clamp Lamp,2,South,Corporate,2011. 4. 8.,Standard Class,Virginia,Furnishings,Shipped On Time,null,null,36.7978,-76.1759,0.0,46.0,178.0,6.0,233.0,6.0,177.68,26.0
2011-04-02T00:00:00Z,Office Supplies,Athens,United States,Rob Dowd,CA-2011-164315,30605,Euro-Pro Shark Turbo Vacuum,5,South,Consumer,2011. 4. 8.,Standard Class,Georgia,Appliances,Shipped On Time,null,null,33.9321,-83.3525,0.0,40.0,155.0,6.0,203.0,6.0,154.9,26.0
2011-04-02T00:00:00Z,Office Supplies,Athens,United States,Rob Dowd,CA-2011-164315,30605,Xerox 1990,3,South,Consumer,2011. 4. 8.,Standard Class,Georgia,Paper,Shipped On Time,null,null,33.9321,-83.3525,0.0,7.0,16.0,6.0,21.0,6.0,15.84,45.0
2011-04-02T00:00:00Z,Technology,Athens,United States,Rob Dowd,CA-2011-164315,30605,Motorola Droid Maxx,7,South,Consumer,2011. 4. 8.,Standard Class,Georgia,Phones,Shipped On Time,null,null,33.9321,-83.3525,0.0,294.0,1050.0,6.0,1376.0,6.0,1049.93,28.0
